2024-07-06 16:14:46,295 INFO    MainThread:43252 [wandb_config.py:__setitem__():151] config set action_size = 3 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001C3318CEE10>>
2024-07-06 16:14:46,295 INFO    MainThread:43252 [wandb_run.py:_config_callback():1382] config_cb action_size 3 None
2024-07-06 16:14:46,296 INFO    MainThread:43252 [jupyter.py:save_ipynb():372] not saving jupyter notebook
2024-07-06 16:14:46,296 INFO    MainThread:43252 [wandb_init.py:_pause_backend():440] pausing backend
2024-07-06 16:15:19,099 INFO    MainThread:43252 [wandb_init.py:_resume_backend():445] resuming backend
2024-07-06 16:15:19,102 INFO    MainThread:43252 [jupyter.py:save_ipynb():372] not saving jupyter notebook
2024-07-06 16:15:19,102 INFO    MainThread:43252 [wandb_init.py:_pause_backend():440] pausing backend
2024-07-06 16:15:32,533 INFO    MainThread:43252 [wandb_init.py:_resume_backend():445] resuming backend
2024-07-06 16:15:32,689 INFO    MainThread:43252 [jupyter.py:save_ipynb():372] not saving jupyter notebook
2024-07-06 16:15:32,689 INFO    MainThread:43252 [wandb_init.py:_pause_backend():440] pausing backend
2024-07-06 16:17:38,540 INFO    MainThread:43252 [wandb_init.py:_resume_backend():445] resuming backend
2024-07-06 16:17:38,543 INFO    MainThread:43252 [jupyter.py:save_ipynb():372] not saving jupyter notebook
2024-07-06 16:17:38,543 INFO    MainThread:43252 [wandb_init.py:_pause_backend():440] pausing backend
2024-07-06 16:17:40,378 INFO    MainThread:43252 [wandb_init.py:_resume_backend():445] resuming backend
2024-07-06 16:17:40,381 INFO    MainThread:43252 [jupyter.py:save_ipynb():372] not saving jupyter notebook
2024-07-06 16:17:40,381 INFO    MainThread:43252 [wandb_init.py:_pause_backend():440] pausing backend
2024-07-06 16:18:20,704 INFO    MainThread:43252 [wandb_init.py:_resume_backend():445] resuming backend
2024-07-06 16:18:59,832 INFO    MainThread:43252 [jupyter.py:save_ipynb():372] not saving jupyter notebook
2024-07-06 16:18:59,833 INFO    MainThread:43252 [wandb_init.py:_pause_backend():440] pausing backend
2024-07-06 16:21:33,647 INFO    MainThread:43252 [wandb_init.py:_resume_backend():445] resuming backend
2024-07-06 16:21:33,651 INFO    MainThread:43252 [jupyter.py:save_ipynb():372] not saving jupyter notebook
2024-07-06 16:21:33,651 INFO    MainThread:43252 [wandb_init.py:_pause_backend():440] pausing backend
2024-07-06 16:21:55,276 INFO    MainThread:43252 [wandb_init.py:_resume_backend():445] resuming backend
